month,domain,job_count,avg_years,avg_certs,avg_tools,skill_score,avg_salary_usd,exploitation_rate
2026-02,AppSec,4,4.0,2.5,2.75,3.175,73055.0,50.0
2026-02,Cloud Security,4,3.25,3.25,2.5,3.025,67824.0,50.0
2026-02,GRC,12,4.17,2.75,1.42,2.9167,65306.0,41.7
2026-02,IAM,6,4.67,2.17,3.5,3.5667,70680.0,66.7
2026-02,Penetration Testing,7,4.29,2.14,2.43,3.0857,91825.0,57.1
2026-02,SOC,8,4.12,2.75,2.62,3.2625,59052.0,37.5
2026-03,AppSec,2,4.5,2.5,2.5,3.3,81876.0,50.0
2026-03,Cloud Security,2,5.5,4.0,3.0,4.3,93360.0,50.0
2026-03,IAM,2,4.5,2.0,4.0,3.6,70488.0,50.0
2026-03,Penetration Testing,2,3.0,2.0,3.0,2.7,97625.0,50.0
2026-03,SOC,3,2.33,2.0,1.33,1.9333,61398.0,33.3
